i,base-1,aosdb-1,aosdboptcompile-1,base-2,aosdb-2,aosdboptcompile-2,base-4,aosdb-4,aosdboptcompile-4,base-8,aosdb-8,aosdboptcompile-8,base-16,aosdb-16,aosdboptcompile-16,base-32,aosdb-32,aosdboptcompile-32
0,60522,60429,58976,37322,36966,36349,22517,22664,22057,15118,16001,15090,12412,12847,12945,13122,16142,13921
1,60316,66090,58261,37143,38225,36943,22226,23442,21819,14802,16002,15314,12670,13581,12708,13243,16715,13806
2,61987,65382,61964,36779,38131,36921,22261,22572,21734,14996,15406,14738,12629,13887,12533,14094,15231,13922
3,60997,64587,60131,37563,37986,37587,22543,23396,22321,15645,15225,15368,12316,13915,12553,13702,15383,14016
4,60435,60357,59131,36803,38167,36899,21812,22835,21866,15499,15630,15224,12296,13152,12773,13897,16348,13708
5,59144,63210,58654,37536,38242,36865,22258,23028,22112,14807,15714,14500,12658,13759,12670,13770,15758,13351
6,60029,61766,58993,36615,38101,35888,22446,23197,22414,14690,15613,15186,12697,13718,12956,13834,15307,13134
7,62895,62701,60822,36386,38063,35399,21142,22240,22224,15008,15308,15234,12236,13440,12411,13907,15065,13700
8,63093,60117,59794,36680,38092,36675,22741,23557,22356,15031,14989,15040,12660,13217,12468,13843,15352,13557
9,60952,63233,60770,36050,38486,37086,22688,23438,22163,14834,15978,15158,12353,13167,12543,13427,15897,13753
