i,base1,base2,vm1,vm2
0,4323,4422,4760,5363
1,4410,4319,4790,5542
2,4307,4164,4924,5671
3,4346,4268,4853,5216
4,4608,4213,4764,5542
5,4234,4295,4753,5515
6,4283,4132,4852,5448
7,4315,4337,4753,5399
8,4409,4263,4698,5369
9,4210,4278,4997,5504
