i,base1,base2,vm1,vm2
0,1481,1462,1567,2008
1,1515,1550,1585,2013
2,1504,1532,1459,2101
3,1494,1523,1627,1552
4,1478,1463,1620,2003
5,1474,1484,1539,2112
6,1535,1594,1528,2102
7,1468,1480,1500,1986
8,1527,1478,1523,2115
9,1563,1492,1489,1949
