i,base1,base2,vm1,vm2
0,9091,9084,10098,-1
1,9144,9290,10196,9867
2,9200,9055,9996,-1
3,9448,9222,10254,-1
4,9216,9176,9982,-1
5,9509,9441,10253,-1
6,9191,9240,10266,-1
7,9380,9500,10237,9911
8,9272,9198,10518,-1
9,9351,9480,9854,-1
