i,base1,base2,vm1,vm2
0,12606,13038,13051,12709
1,12200,12524,12645,13232
2,11916,12062,13444,12139
3,12715,12239,12235,13613
4,11699,12199,11994,12879
5,11622,13211,12782,12499
6,12307,12492,14088,13085
7,12523,13048,13274,12904
8,12238,11457,12239,12644
9,12669,11255,12764,12754
