i,base1,base2,vm1,vm2
0,4844,5146,5180,5817
1,4967,5165,5288,5970
2,5075,5013,5502,5871
3,5250,5039,5387,5678
4,5166,5047,5289,5867
5,4801,4826,5511,6120
6,4972,4990,5193,6007
7,5014,5180,5377,4651
8,5063,5109,5074,5549
9,5330,-1,5229,4590
