i,base1,base2,vm1,vm2
0,2397,2418,2255,-1
1,2374,2495,2261,2773
2,2450,2300,2226,3009
3,2589,2459,2501,2736
4,2397,2439,2250,2695
5,2281,2287,2313,2784
6,2278,2356,2199,2813
7,2399,2343,2267,2764
8,2493,2434,2155,2807
9,2294,2242,2251,2759
