i,base1,base2,vm1,vm2
0,2425,2471,2510,2383
1,2496,2473,2530,2364
2,2575,2644,2580,2396
3,2587,2551,2641,2523
4,2508,2585,2646,2405
5,2641,2634,2622,2323
6,2539,2527,2572,2427
7,2608,2595,2585,2329
8,2479,2454,2542,2443
9,2487,2522,2614,2562
