i,base1,base2,vm1,vm2
0,13735,14277,15587,13339
1,14485,14046,15149,14443
2,14490,13387,14553,13353
3,14007,14238,14736,13137
4,13799,13517,14612,12958
5,13474,14488,14691,13689
6,13526,13857,14005,13370
7,13309,13548,14932,13977
8,15271,13940,14822,13080
9,15180,14088,14698,12933
