i,base1,base2,vm1,vm2
0,3498,3774,3365,3208
1,3268,3294,3413,2971
2,3423,3373,4110,3651
3,3275,3399,3397,3623
4,3192,3006,3476,3441
5,3166,3164,3356,3405
6,3570,3136,3816,3680
7,2956,4039,3466,3561
8,3075,3846,3315,3329
9,2987,3065,3422,3654
