i,base1,base2,vm1,vm2
0,4879,4947,5031,4723
1,4760,4713,4848,4521
2,4956,4863,4983,4878
3,4943,5179,5046,4692
4,4848,4880,4927,-1
5,5130,4831,4680,4707
6,4756,4953,4959,4612
7,4994,5159,4998,4530
8,4840,4787,5194,4638
9,4821,4772,5078,4471
