i,base1,base2,vm1,vm2
0,3458,3486,5592,3260
1,3806,2968,6255,3319
2,3487,2988,6196,3432
3,3135,3146,5807,3449
4,3279,3434,6394,2932
5,3288,3932,5368,3037
6,2963,3612,6855,3527
7,3577,3295,5583,3380
8,3265,3802,5291,3265
9,3593,3390,6747,3388
