i,base1,base2,vm1,vm2
0,5444,5625,6777,6338
1,6324,6120,8472,6558
2,6096,6718,6041,6698
3,6061,6636,6671,5775
4,5952,5830,6341,6086
5,5939,6157,6131,6211
6,6426,5834,7038,6701
7,6229,-1,6826,6449
8,6083,6201,6367,6666
9,6747,-1,5899,6245
