i,base1,base2,vm1,vm2
0,2838,3077,3139,3229
1,3025,3078,3205,2688
2,2593,2904,3261,2830
3,2987,3409,2956,2974
4,2922,2774,3198,3330
5,2755,3019,3371,3269
6,2873,2776,3314,2843
7,3412,2677,3128,2951
8,4058,3053,3255,3546
9,4264,2933,2619,2861
