i,base-1,aosdb-1,aosdboptcompile-1,base-2,aosdb-2,aosdboptcompile-2,base-4,aosdb-4,aosdboptcompile-4,base-8,aosdb-8,aosdboptcompile-8,base-16,aosdb-16,aosdboptcompile-16,base-32,aosdb-32,aosdboptcompile-32
0,15969,16307,14675,11286,11418,10915,8568,8592,8365,6590,6357,6001,5836,5715,5879,6771,6520,-1
1,15820,15649,15395,11435,11506,10849,8542,8635,8420,6442,6882,6181,5945,5770,5619,6667,6556,6538
2,14608,15295,14776,10369,11572,10962,8763,8546,8203,6458,6509,-1,5778,6197,5893,6615,6713,6834
3,15944,17471,15348,11302,11415,10780,8351,8582,8449,6627,6777,6471,6022,5913,6105,6951,6786,-1
4,14771,15223,14649,10989,11354,10992,8484,8492,8462,6268,6704,6080,6397,5876,5783,6663,6238,-1
5,17115,16448,15690,11757,11527,10853,8715,8378,8371,6517,6568,6464,5657,6086,6441,6640,6447,-1
6,16858,16602,15620,11165,11545,10735,8723,8267,-1,6573,6961,-1,6567,6409,5871,6658,6416,6663
7,15983,15557,13630,11458,11173,10680,8503,8469,8576,5958,6714,6354,5787,6179,5763,6692,6398,-1
8,17234,16461,15752,11189,11429,10814,8729,8650,8494,6292,6810,6158,6148,6016,6302,6799,6429,6411
9,15542,16065,14303,11422,11160,10593,8526,8606,8099,6377,6643,6302,5677,5735,-1,6566,6650,-1
