i,base-1,aosdb-1,aosdboptcompile-1,base-2,aosdb-2,aosdboptcompile-2,base-4,aosdb-4,aosdboptcompile-4,base-8,aosdb-8,aosdboptcompile-8,base-16,aosdb-16,aosdboptcompile-16,base-32,aosdb-32,aosdboptcompile-32
0,46244,48111,42963,44985,50626,41365,45647,48113,42336,47042,50703,41604,48055,49031,46099,48026,46956,41803
1,47641,49215,42410,46676,49337,41881,47525,49078,42801,47210,48099,43433,45120,47699,43821,47194,47410,43015
2,50852,47281,43180,49601,50040,41045,46569,48548,42630,47454,50272,41068,46871,47568,44451,47882,48841,42018
3,46616,46529,41619,44779,49799,43308,47930,47246,44595,47033,48911,41214,48529,49646,43498,49271,51240,43220
4,45350,49326,43676,47888,49359,41531,45378,48244,42114,45976,47338,42003,45878,49792,43914,45951,48925,43995
5,47466,49707,44115,49254,48521,42020,46744,50017,42951,45831,47268,42235,45177,49639,44920,46576,46384,40956
6,46146,50448,41949,46377,48368,41076,46692,47437,41329,48995,48422,41724,47646,48855,45455,46557,49750,42461
7,46023,48155,44365,47115,49511,44167,47513,47401,42800,45571,49208,42764,45246,48414,41281,47114,49633,40932
8,44687,48059,42835,49355,49204,41784,46246,48770,44589,46549,47922,42478,46099,51080,42556,47444,49901,42547
9,44783,47131,41693,46028,50028,42672,47593,52187,40740,48965,48702,42401,45816,47403,43039,45730,48606,44389
