i,base-1,aosdb-1,aosdboptcompile-1,base-2,aosdb-2,aosdboptcompile-2,base-4,aosdb-4,aosdboptcompile-4,base-8,aosdb-8,aosdboptcompile-8,base-16,aosdb-16,aosdboptcompile-16,base-32,aosdb-32,aosdboptcompile-32
0,29628,31291,28947,28881,30741,26622,27576,31655,27221,27733,31071,28743,27149,30928,25753,27404,29242,25651
1,27982,30620,28798,29407,30022,26176,30198,30501,26680,28987,31553,27009,29489,32087,28851,29840,30286,26781
2,29219,28506,27675,28903,31256,28811,27893,30376,26323,27701,30423,28035,27200,33492,27980,30062,29822,27600
3,29264,30117,28500,27964,31929,29793,28273,30968,25549,30133,29910,27773,28869,30160,28884,28206,29805,28028
4,26987,28795,29126,28767,30680,27902,27025,29802,27563,28612,29854,26499,29731,30673,26297,28730,31794,27597
5,28512,30064,26883,27503,31103,26301,27501,31610,27088,28845,30710,27597,27645,29716,27376,26131,29966,25602
6,25865,30898,27590,27897,30711,26510,28602,30075,28948,27222,28754,27037,28722,30289,27856,27452,30401,28948
7,27727,29216,25804,29310,30303,27864,27800,30315,28173,29017,27404,27462,27989,28875,26249,28191,29983,26051
8,28511,28171,28209,25967,30504,26799,28576,30038,27738,27011,28894,28625,32540,34229,33762,32620,36784,31922
9,32197,30062,26912,27958,31366,26384,28149,30223,26016,30770,31477,27298,29254,29697,27145,35465,35386,31876
