i,base-1,aosdb-1,aosdboptcompile-1,base-2,aosdb-2,aosdboptcompile-2,base-4,aosdb-4,aosdboptcompile-4,base-8,aosdb-8,aosdboptcompile-8,base-16,aosdb-16,aosdboptcompile-16,base-32,aosdb-32,aosdboptcompile-32
0,36977,38924,39466,19906,20462,21571,11665,11871,11807,7488,6969,7035,4489,5887,4600,4960,6261,4982
1,36967,38670,39695,20406,20491,21200,12246,12530,11895,7206,6990,6852,4700,6433,4868,5019,6046,4749
2,36366,36357,40416,19955,20888,21626,11828,12441,12220,6814,7240,7514,4548,5251,4277,5148,5258,4948
3,37867,38142,40039,20497,20504,21358,11772,11967,11904,6768,7350,7102,5049,5570,4709,4946,7077,4675
4,36677,37147,39680,20414,20100,21325,12474,11861,11873,7268,7078,7008,4706,6164,4767,5096,6631,4821
5,36433,38760,40606,20046,20700,21327,11741,11918,12145,7687,7084,7018,4879,5400,4695,5037,6726,4799
6,38581,37997,37490,20541,20571,21198,11881,11777,11936,6884,7596,6976,4588,5169,4623,5088,6257,4803
7,36321,38446,39400,20201,19924,21277,11518,11750,12206,7247,7483,6770,4622,5492,4548,5143,6289,4948
8,37754,38397,40818,19948,20538,19903,11560,11695,12217,6855,7232,6957,4349,5176,4651,4976,5896,4725
9,36982,37783,39367,19962,20207,21659,11383,12978,11795,6714,7684,6939,4723,5503,4837,5192,5823,4773
