i,base1,base2,vm1,vm2
0,5375,5038,5529,-1
1,5289,5079,5368,-1
2,5027,5159,5230,-1
3,5169,5457,5344,4756
4,5252,5014,5445,5027
5,5048,5497,5461,-1
6,5346,5269,5260,4895
7,5633,5146,5532,-1
8,5297,5071,5406,-1
9,5162,5537,5233,-1
