i,base1,base2,vm1,vm2
0,3314,3248,4475,-1
1,3216,3377,6068,-1
2,3395,3543,5327,-1
3,3052,3320,5374,-1
4,3250,3409,5409,-1
5,3323,3113,6510,-1
6,3672,3444,6908,-1
7,3151,3158,4997,-1
8,3375,3765,5793,-1
9,3458,3258,6006,-1
