i,base1,base2,vm1,vm2
0,3482,3590,3403,-1
1,3164,3473,3374,-1
2,2938,3121,4209,-1
3,3272,3397,3809,-1
4,3306,3166,3210,-1
5,3528,2994,3669,-1
6,3398,3165,3598,-1
7,2878,3296,4096,-1
8,3294,3287,3605,-1
9,2877,2991,4034,-1
