i,base1,base2,vm1,vm2
0,2112,2148,2235,-1
1,2138,2148,2120,-1
2,2112,2131,2126,-1
3,2120,2131,2081,-1
4,2076,2103,2128,-1
5,2126,2112,2194,-1
6,2155,2121,2084,-1
7,2328,2343,2299,-1
8,2356,2176,2339,-1
9,2131,2154,2201,-1
