i,base1,base2,vm1,vm2
0,5773,6767,5594,-1
1,6292,5561,7046,-1
2,5834,6358,6730,-1
3,6133,6563,5774,7504
4,5918,6685,6359,-1
5,5937,6544,6306,6540
6,5598,5863,5720,6687
7,6167,5393,5907,-1
8,6148,6151,6005,-1
9,5846,5799,5686,6727
