i,base1,base2,vm1,vm2
0,3278,3039,3569,-1
1,3232,2903,3148,-1
2,2960,3340,3250,-1
3,2715,3065,2993,-1
4,3032,3002,3235,-1
5,3146,2909,2980,-1
6,2487,2804,3101,-1
7,3083,3485,2940,-1
8,3102,2671,3145,-1
9,2486,2558,3275,-1
