i,base1,base2,vm1,vm2
0,13409,15559,15189,-1
1,13538,15379,14914,-1
2,13184,13781,13929,-1
3,13410,13293,13888,-1
4,13737,14768,14488,-1
5,13237,14013,15113,-1
6,13514,13599,15033,-1
7,12688,13025,13791,-1
8,14057,13624,14768,-1
9,13299,13421,15583,-1
