i,base1,base2,vm1,vm2
0,3382,3754,3247,5599
1,3509,3791,3479,5338
2,3508,3499,3351,6575
3,3417,3462,4034,6269
4,3856,3664,3702,5562
5,3980,3237,3368,6076
6,3341,3884,3530,5542
7,3302,3301,3502,5874
8,3398,3285,3307,5424
9,3635,4076,3548,5300
