i,base1,base2,vm1,vm2
0,3139,3283,5999,3993
1,3707,3690,4383,4523
2,3182,3469,5608,4405
3,3914,3282,4449,4127
4,3598,3426,6269,3873
5,3725,3291,6125,3948
6,3322,3803,4256,4056
7,3135,3403,7420,4427
8,3294,3340,5518,4448
9,3451,3507,4783,4824
