i,base1,base2,vm1,vm2
0,2808,2803,2913,4284
1,2556,2926,3531,4188
2,2769,2953,3021,4722
3,2699,3073,3472,3938
4,2998,2589,3029,4110
5,2921,3036,3229,4079
6,2820,3132,3293,4139
7,2670,3603,3004,4615
8,2882,3095,3040,4924
9,2681,2889,3160,3825
