i,base1,base2,vm1,vm2
0,13891,14020,15147,-1
1,13458,13900,13870,-1
2,14132,14264,14896,-1
3,15555,13949,14281,-1
4,15464,13634,16332,-1
5,14721,13606,14410,-1
6,14434,13457,14628,-1
7,14346,13526,15891,-1
8,14169,15767,15762,16084
9,13641,13700,14453,-1
