i,base1,base2,vm1,vm2
0,2704,2585,2678,3632
1,2681,2675,2751,3610
2,2599,2552,2606,3881
3,2594,2615,2690,3470
4,2679,2593,2596,3200
5,2525,2500,2535,3285
6,2643,2546,2651,3356
7,2571,2598,2678,3313
8,2624,2509,2657,3350
9,2573,2645,2696,2818
