i,base1,base2,vm1,vm2
0,4777,4668,5114,5549
1,5070,4862,4887,6166
2,4879,4882,5130,6045
3,4998,4904,4790,6087
4,5019,5065,5045,6070
5,4982,4959,4989,5262
6,4978,4898,4965,5374
7,5294,4802,4824,5466
8,4908,4922,4896,6172
9,4894,4891,4870,5668
