i,base1,base2,vm1,vm2
0,6383,5425,6888,6667
1,6192,6482,6048,7409
2,5859,6736,6419,8826
3,6181,5777,5753,8812
4,6470,5947,6046,9571
5,5970,6508,5837,6057
6,5728,6301,7530,8830
7,5705,7080,6440,7482
8,6248,6102,5931,8347
9,6463,6480,6355,8540
