i,base1,base2,vm1,vm2
0,3296,2654,3220,-1
1,3211,3416,3263,-1
2,3075,2833,3255,-1
3,3344,2854,3342,-1
4,2908,2691,2999,-1
5,3026,2945,3114,-1
6,2877,2983,2919,-1
7,3333,2626,3218,-1
8,2794,3244,2906,-1
9,3515,2912,2890,-1
