i,base1,base2,vm1,vm2
0,5936,5882,6761,-1
1,6710,5862,6419,-1
2,5588,7007,5917,-1
3,6481,6127,6146,-1
4,6110,5873,6984,-1
5,5820,6773,6265,-1
6,6474,5911,6612,-1
7,5836,5671,5770,-1
8,6276,6601,5855,-1
9,6484,6205,6160,-1
