i,base1,base2,vm1,vm2
0,4945,4868,5174,-1
1,4712,4911,4949,-1
2,4924,5007,5069,-1
3,4870,4808,5132,-1
4,5010,4741,4988,-1
5,4762,4845,5020,-1
6,4804,4921,4836,-1
7,4972,4821,5125,-1
8,4821,5109,4859,-1
9,4980,4927,5039,-1
