i,base1,base2,vm1,vm2
0,3355,3417,4692,-1
1,3698,3271,4717,-1
2,4127,3612,7190,-1
3,3884,3174,4802,-1
4,3260,3493,5974,-1
5,3162,3169,5681,-1
6,3157,3586,5946,-1
7,3169,3122,5253,-1
8,3104,3659,6138,-1
9,3185,3316,5812,-1
