i,base1,base2,vm1,vm2
0,3511,3505,3252,-1
1,3282,3829,3683,-1
2,4310,3951,3590,-1
3,3392,3431,3704,-1
4,3479,2880,3317,-1
5,3045,2974,4229,-1
6,3494,3662,3939,-1
7,3068,3801,3621,-1
8,3064,3184,3670,-1
9,4262,3737,3468,-1
