i,base1,base2,vm1,vm2
0,2516,2540,2560,-1
1,2717,2550,2518,-1
2,2650,2534,2620,-1
3,2490,2654,2545,-1
4,2497,2500,2547,-1
5,2505,2493,2593,-1
6,2477,2722,3007,-1
7,3031,2529,2592,-1
8,3164,2489,2443,-1
9,2847,2522,3061,-1
