i,base1,base2,vm1,vm2
0,13467,14071,14574,-1
1,13551,14013,13913,-1
2,14558,15231,14744,-1
3,14081,13542,14478,-1
4,13456,14609,14440,-1
5,15233,13928,15595,-1
6,14433,14784,15447,-1
7,14294,14173,13824,-1
8,14103,13432,14378,-1
9,13022,13569,14254,-1
